timestamp,rssi
1762833856.60365,-70
1762833857.380715,-70
1762833858.1315658,-70
1762833858.9136295,-70
1762833859.6637058,-70
1762833860.41292,-70
1762833861.1808848,-70
1762833861.9465253,-70
1762833862.6967816,-70
1762833863.464084,-73
1762833864.2135174,-73
1762833864.9809456,-73
1762833865.7301276,-76
1762833866.4804182,-76
1762833867.250497,-76
1762833867.9998267,-79
1762833868.7468295,-79
1762833869.5243924,-79
1762833870.2823539,-79
1762833871.0303354,-79
1762833871.8304887,-80
1762833872.5991123,-80
1762833873.346829,-80
1762833874.0972805,-80
1762833874.8464305,-83
1762833875.6303399,-83
1762833876.382352,-83
1762833877.1638398,-79
1762833877.930481,-79
1762833878.6966722,-79
1762833879.4497035,-80
1762833880.21722,-77
1762833880.963787,-77
1762833881.7695584,-79
1762833882.5690205,-82
1762833883.3810353,-83
1762833884.133058,-83
1762833884.8807514,-83
1762833885.6489046,-83
1762833886.3990133,-83
1762833887.1499712,-83
1762833887.897019,-82
1762833888.6465883,-82
1762833889.3969,-82
1762833890.165422,-83
1762833890.9132998,-83
1762833891.664017,-83
1762833892.414154,-86
1762833893.164984,-86
1762833893.913038,-86
1762833894.6648445,-88
1762833895.4307468,-88
1762833896.1985047,-88
1762833896.9475634,-88
1762833897.6976616,-88
1762833898.4636202,-88
1762833899.2129905,-88
1762833899.9645045,-88
1762833900.7141547,-86
1762833901.463961,-86
1762833902.2451386,-86
1762833902.9971106,-88
1762833903.7468092,-85
1762833904.5310502,-85
1762833905.2972937,-85
1762833906.0493784,-85
1762833906.7974446,-85
1762833907.549841,-85
1762833908.3330708,-86
1762833909.096782,-86
1762833909.8473086,-86
1762833910.6153636,-85
1762833911.3640995,-85
1762833912.1310563,-85
1762833912.8823135,-85
1762833913.6649833,-85
1762833914.418691,-85
1762833915.1640713,-85
1762833915.9142165,-86
1762833916.6813488,-86
1762833917.4379609,-86
1762833918.1979096,-85
1762833918.9463668,-85
1762833919.7006626,-85
1762833920.4688137,-85
1762833921.2325196,-85
1762833921.998692,-85
1762833922.7639537,-86
1762833923.518475,-86
1762833924.2654612,-86
1762833925.0136714,-83
1762833925.783078,-83
1762833926.5470715,-82
1762833927.2992854,-82
1762833928.0468998,-82
1762833928.7999468,-83
1762833929.5512018,-83
1762833930.3149588,-83
1762833931.0817103,-83
1762833931.8639214,-83
1762833932.6156125,-83
1762833933.363783,-83
1762833934.117338,-83
1762833934.882293,-83
1762833935.6574745,-83
1762833936.4507608,-83
1762833937.2321715,-82
1762833937.9971726,-82
1762833938.764475,-82
1762833939.5154414,-77
1762833940.3002214,-77
1762833941.0505009,-77
1762833941.8156214,-74
1762833942.5983984,-74
1762833943.3670297,-76
1762833944.2793274,-76
1762833945.134844,-76
1762833945.9143207,-76
1762833946.6784914,-76
1762833947.4778736,-79
1762833948.2448835,-79
1762833949.0712998,-80
1762833949.9306417,-80
1762833950.7627532,-80
1762833951.511129,-80
1762833952.279452,-83
1762833953.0490227,-83
1762833953.8076508,-83
1762833955.1111882,-83
1762833955.8785985,-80
1762833956.6523426,-80
1762833957.4449334,-80
1762833958.2504785,-80
1762833959.0124347,-79
1762833959.7798247,-79
1762833960.5650656,-79
1762833961.32913,-77
1762833962.0792313,-79
1762833962.8458045,-73
1762833963.601036,-73
1762833964.3631163,-73
1762833965.1122804,-71
1762833965.8874407,-71
1762833966.6455245,-71
1762833967.3973958,-71
1762833968.1637878,-71
1762833968.9121995,-70
1762833969.6623564,-70
1762833970.411965,-70
1762833971.1812189,-70
1762833971.930101,-70
1762833972.6593444,-70
1762833973.4141967,-70
1762833974.165337,-70
1762833974.9148746,-70
1762833975.7001805,-71
1762833976.448403,-73
1762833977.1986332,-73
1762833977.9652288,-73
1762833978.72392,-73
1762833979.4668727,-73
1762833980.233611,-73
1762833980.982067,-73
1762833981.7664506,-76
1762833982.5316772,-76
1762833983.2817068,-76
1762833984.04847,-79
1762833984.8366044,-79
1762833985.5887406,-79
1762833986.351523,-79
1762833987.075356,-79
1762833987.7950647,-79
1762833988.5499184,-79
1762833989.3172393,-79
1762833990.082064,-79
1762833990.8339102,-80
1762833991.5814157,-80
1762833992.3302984,-80
1762833993.082308,-80
1762833993.8656445,-80
1762833994.6151528,-83
1762833995.3647888,-82
1762833996.1147766,-82
1762833996.8812706,-83
1762833997.631653,-83
1762833998.399505,-83
1762833999.182572,-83
1762833999.9332829,-82
1762834000.6821423,-82
1762834001.4329493,-82
1762834002.181387,-82
1762834002.9332185,-82
1762834003.681664,-82
1762834004.4679375,-82
1762834005.2158136,-82
1762834005.9645612,-82
1762834006.7341256,-82
1762834007.4981565,-82
1762834008.2499537,-82
1762834009.0151408,-82
1762834009.7662842,-79
1762834010.5151486,-79
1762834011.281452,-79
1762834012.0482018,-77
1762834012.79963,-77
1762834013.5814927,-77
1762834014.3491328,-77
1762834015.1010823,-77
1762834015.8508916,-77
1762834016.6010394,-77
1762834017.36562,-77
1762834018.1150486,-77
1762834018.8695168,-77
1762834019.6485848,-77
1762834020.4005172,-77
1762834021.165348,-77
1762834021.9156034,-77
1762834022.6653936,-77
1762834023.4152827,-77
1762834024.1647499,-77
1762834024.919393,-77
1762834025.6980593,-77
1762834026.4490566,-77
1762834027.1990204,-77
1762834027.9650538,-77
1762834028.7157207,-77
1762834029.4987125,-77
1762834030.24994,-77
1762834031.0322783,-77
1762834031.8157153,-73
1762834032.5707827,-73
1762834033.3322358,-73
1762834034.098258,-73
1762834034.851388,-73
1762834035.63178,-73
1762834036.3822932,-73
1762834037.1490078,-73
1762834037.8999863,-73
1762834038.6656542,-73
1762834039.417273,-73
1762834040.1655948,-73
1762834040.9153771,-73
1762834041.6826458,-73
1762834042.432786,-71
1762834043.1828904,-71
1762834043.982142,-71
1762834044.7327535,-71
1762834045.4818869,-71
1762834046.2499955,-71
