timestamp,rssi
1762231386.2941043,-70
1762231387.0135598,-70
1762231387.7433891,-70
1762231388.5618176,-65
1762231389.2634542,-65
1762231389.950542,-71
1762231390.6406882,-68
1762231391.3519528,-68
1762231392.029891,-67
1762231392.7227445,-67
1762231393.4127138,-67
1762231394.0996034,-68
1762231394.7995412,-68
1762231395.5151145,-67
1762231396.2036037,-67
1762231396.8944893,-67
1762231397.5900986,-67
1762231398.2733717,-67
1762231398.9725976,-64
1762231399.6579766,-64
1762231400.3441546,-64
1762231401.0272064,-64
1762231401.7177324,-64
1762231402.407512,-64
1762231403.0906885,-64
1762231403.792004,-64
1762231404.4759524,-64
1762231405.1626883,-62
1762231405.874756,-62
1762231406.5652595,-64
1762231407.249804,-64
1762231407.9563932,-64
1762231408.6436546,-67
1762231409.3418949,-67
1762231410.03349,-67
1762231410.802027,-67
1762231411.5423205,-67
1762231412.255292,-71
1762231413.001316,-71
1762231413.6944838,-76
1762231414.518473,-76
1762231415.2263625,-76
1762231415.913634,-79
1762231416.6222126,-79
1762231417.3358076,-79
1762231418.028544,-80
1762231418.7400339,-79
1762231419.4374797,-79
1762231420.1227443,-77
1762231420.8253691,-77
1762231421.5087385,-79
1762231422.2076828,-77
1762231422.9376745,-77
1762231423.6314552,-80
1762231424.3762634,-79
1762231425.0684218,-79
1762231425.80153,-76
1762231426.4928448,-76
1762231427.1786578,-76
1762231427.8898468,-76
1762231428.5747862,-76
1762231429.2710116,-76
1762231429.9646478,-76
1762231430.6617322,-76
1762231431.3615994,-82
1762231432.0526407,-82
1762231432.7445905,-82
1762231433.45701,-82
1762231434.145777,-82
1762231434.8306832,-82
1762231435.5262666,-82
1762231436.2176278,-82
1762231436.9035509,-82
1762231437.6102042,-82
1762231438.311969,-83
1762231439.0036883,-79
1762231439.717873,-79
1762231440.409119,-77
1762231441.1033318,-77
1762231441.8135772,-77
1762231442.507494,-77
1762231443.2027986,-77
1762231443.8957477,-77
1762231444.5891142,-77
1762231445.2794259,-77
1762231445.9777112,-77
1762231446.6952744,-77
1762231447.3825426,-77
1762231448.0774777,-73
1762231448.775687,-73
1762231449.4579718,-70
1762231450.1420572,-70
1762231450.8436868,-70
1762231451.5335534,-67
1762231452.2233202,-67
1762231452.9674242,-67
1762231453.6634014,-67
1762231454.3498976,-67
1762231455.193503,-67
1762231455.9847944,-67
1762231456.7218928,-67
1762231457.3818424,-67
1762231458.094361,-67
1762231458.7836883,-67
1762231459.4688127,-67
1762231460.158148,-64
1762231460.861147,-64
1762231461.5509048,-64
1762231462.2656484,-64
1762231462.9502733,-64
1762231463.6484642,-64
1762231464.333522,-64
1762231465.0248222,-64
1762231465.7201362,-64
1762231466.412059,-64
1762231467.1061196,-64
1762231467.8079174,-64
1762231468.4936779,-68
1762231469.1994874,-68
1762231469.8895152,-68
1762231470.5775058,-67
1762231471.2724805,-74
1762231471.9635065,-74
1762231472.6637716,-74
1762231473.3491719,-74
1762231474.0516315,-77
1762231474.7585695,-79
1762231475.441696,-79
1762231476.1641264,-79
1762231476.8687785,-80
1762231477.5814357,-80
1762231478.2669399,-77
1762231478.973987,-77
1762231479.668762,-77
1762231480.3586385,-77
1762231481.0521307,-77
1762231481.7558186,-77
1762231482.4469693,-77
1762231483.1348257,-77
1762231483.834702,-74
1762231484.5244806,-74
