timestamp,rssi
1778654063.9502754,-52
1778654064.6842823,-52
1778654065.3945029,-52
1778654066.1270044,-52
1778654066.8689616,-52
1778654067.593913,-52
1778654068.2985442,-52
1778654069.0135899,-52
1778654069.7298295,-52
1778654070.449776,-52
1778654071.316888,-52
1778654072.1265159,-52
1778654073.3361976,-52
1778654074.037691,-52
1778654074.8326895,-52
1778654075.910227,-52
1778654076.6601868,-52
1778654077.3569503,-52
1778654078.2810743,-52
1778654078.9833376,-52
1778654079.7233942,-52
1778654080.4417548,-52
1778654081.1884277,-52
1778654081.940459,-53
1778654082.723383,-53
1778654083.443993,-53
1778654084.3886027,-53
1778654088.58684,-59
1778654089.2786572,-59
1778654090.0367475,-59
1778654090.8920987,-60
1778654091.6229725,-60
1778654092.3512504,-60
1778654093.059141,-60
1778654093.7559693,-60
1778654094.4961495,-60
1778654095.211023,-60
1778654095.940157,-60
1778654096.6494641,-60
1778654097.3512325,-60
1778654098.0482535,-60
1778654098.7576578,-60
1778654099.49177,-60
1778654100.2176523,-60
1778654100.9276323,-60
1778654101.6334598,-60
1778654102.33347,-60
1778654103.0431173,-60
1778654103.8149416,-57
1778654104.528505,-57
1778654105.2339277,-57
1778654105.932718,-57
1778654106.6523721,-57
1778654107.3599205,-55
1778654108.0841901,-55
1778654108.810389,-55
1778654109.5158882,-55
1778654110.213784,-55
1778654110.9119728,-55
1778654111.6104279,-55
1778654112.3061411,-55
1778654113.0039933,-55
1778654113.7082944,-55
1778654114.410597,-55
1778654115.1141222,-55
1778654115.8300903,-55
1778654116.5313907,-55
1778654117.2550614,-55
1778654117.9797268,-57
1778654118.6838405,-57
1778654119.3813345,-58
1778654120.111349,-58
1778654120.8202872,-58
1778654121.5223336,-58
1778654122.2192278,-58
1778654122.92724,-57
1778654123.6261756,-58
1778654124.327744,-58
1778654125.032358,-58
1778654125.729789,-58
1778654126.4361048,-58
1778654127.1448278,-58
1778654127.8415143,-58
1778654128.5420961,-57
1778654129.2614167,-57
1778654129.9618914,-57
1778654130.6595366,-57
1778654131.6057577,-54
1778654132.306851,-54
1778654133.490019,-54
1778654134.2141173,-54
1778654134.9118202,-54
1778654135.6425629,-54
1778654136.3603113,-54
1778654137.0689955,-54
1778654137.7822518,-54
1778654138.516001,-52
1778654139.2506602,-52
1778654139.9502296,-52
1778654140.667257,-52
1778654141.3679407,-52
1778654142.0659432,-52
1778654142.7871604,-52
1778654143.4898818,-52
1778654144.2116294,-52
1778654144.9573903,-52
1778654145.6870403,-54
1778654146.3882356,-54
1778654147.0911698,-54
1778654147.816114,-54
1778654148.5344996,-54
1778654149.2681878,-54
1778654149.965408,-54
1778654150.699342,-54
1778654151.400252,-54
1778654152.101365,-54
1778654152.8220713,-54
1778654153.5247345,-52
1778654154.240335,-52
1778654154.9475734,-52
1778654155.7054086,-52
1778654156.4506118,-52
1778654157.1698413,-53
1778654157.8780227,-52
1778654158.5779297,-52
1778654159.30111,-53
1778654160.0438848,-53
1778654160.761824,-53
1778654161.4843872,-52
1778654162.2096176,-52
1778654162.9302468,-52
1778654163.6435785,-52
1778654164.3381038,-52
1778654165.0605855,-52
1778654165.7814505,-52
1778654166.4805427,-52
1778654167.1940322,-52
1778654167.9244313,-52
1778654168.6314209,-52
1778654169.3293095,-52
1778654170.0669582,-52
1778654170.7802944,-52
1778654171.4809332,-52
1778654172.2081323,-52
1778654172.9126277,-52
1778654173.6550527,-52
1778654174.354893,-52
1778654175.0520434,-52
1778654175.7673814,-52
1778654176.4768581,-52
1778654177.189366,-52
1778654177.894531,-52
1778654178.590636,-52
1778654179.3049521,-52
1778654180.0056374,-52
1778654180.7177424,-52
1778654181.4173603,-52
1778654182.1676593,-52
1778654182.8673663,-52
1778654183.56478,-52
