timestamp,rssi
1762174691.8683326,-55
1762174692.7430487,-55
1762174693.5735617,-55
1762174694.356499,-55
1762174695.139484,-55
1762174695.9391894,-55
1762174696.7218857,-55
1762174697.549457,-55
1762174698.3471859,-55
1762174699.128206,-55
1762174699.9391494,-55
1762174700.7234108,-55
1762174701.5156653,-55
1762174702.3265166,-55
1762174703.11959,-55
1762174703.9179971,-55
1762174704.71602,-55
1762174705.522595,-55
1762174706.3152492,-55
1762174707.086735,-55
1762174707.870661,-55
1762174708.6591568,-55
1762174709.442378,-55
1762174710.2169008,-55
1762174710.9967475,-55
1762174711.790018,-55
1762174712.5722766,-55
1762174713.4029808,-55
1762174714.1910958,-55
1762174714.9682221,-55
1762174715.7565846,-55
1762174716.5659459,-55
1762174717.3492634,-55
1762174718.1362834,-55
1762174718.9202235,-55
1762174719.7036126,-55
1762174720.489156,-55
1762174721.3283246,-55
1762174722.2561932,-55
1762174723.893512,-55
1762174724.9317794,-55
1762174728.9450912,-55
1762174730.7673047,-55
1762174731.7065926,-55
1762174732.5812604,-55
1762174733.5841007,-55
1762174734.53507,-55
1762174735.4172206,-55
1762174736.2886417,-55
1762174737.1965084,-55
1762174738.0843835,-55
1762174738.9838812,-55
1762174739.9017498,-55
1762174740.7850106,-55
1762174741.7446282,-55
1762174742.6445217,-55
1762174743.634278,-55
1762174744.5160835,-55
1762174745.3985202,-55
1762174746.2839882,-55
1762174747.159925,-55
1762174748.0192318,-55
1762174748.918476,-55
1762174749.801102,-55
1762174750.710439,-55
1762174751.6025507,-55
1762174752.4842484,-55
1762174753.3492157,-55
1762174754.2873676,-55
1762174755.179835,-55
1762174756.0615618,-55
1762174756.98503,-55
1762174757.870652,-55
1762174758.7784195,-55
1762174759.6796908,-55
1762174760.5358226,-55
1762174761.4526966,-55
1762174762.3519802,-55
1762174763.2434518,-55
1762174763.99302,-55
1762174765.1303322,-55
1762174766.196742,-56
1762174767.17956,-56
1762174767.9478254,-55
1762174768.738515,-55
1762174769.506053,-55
1762174770.4466708,-55
1762174771.2360938,-55
1762174772.024294,-55
1762174772.8011487,-55
1762174773.569036,-55
1762174774.3405588,-55
1762174775.122838,-55
1762174775.8834116,-55
1762174776.6519716,-55
1762174777.4143057,-55
1762174778.1815388,-55
1762174778.9648879,-55
1762174779.7553558,-55
1762174780.514981,-55
1762174781.2804677,-55
1762174782.0528176,-55
1762174782.8164637,-55
1762174783.5894876,-55
1762174784.3659837,-55
1762174785.1470792,-55
1762174785.9140382,-55
